src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_converted,actual_dept_converted,scheduled_arrival_converted,actual_arrival_converted
myrateplan,2011-12-20-UA-2314-ATL-PHL,,12/20/11 3:12 PM (-05:00),,,12/20/11 4:27 PM (-05:00),,,2011-12-20 15:12:00,,2011-12-20 16:27:00
flytecomm,2011-12-25-AA-1917-JFK-MCO,,12/25/11 3:10 PM (-05:00),,,12/25/11 5:36 PM (-05:00),,,2011-12-25 15:10:00,,2011-12-25 17:36:00
myrateplan,2011-12-10-UA-828-SFO-ORD,,12/10/11 11:27 PM (-08:00),,,12/11/11 5:06 AM (-06:00),,,2011-12-10 23:27:00,,2011-12-11 05:06:00
travelocity,2011-12-09-AA-404-MIA-MCO,Dec 09 - 6:45am,Dec 09 - 7:10am,E5,Dec 09 - 7:45am,Dec 09 - 8:07am,14,2000-12-09 06:45:00,2000-12-09 07:10:00,2000-12-09 07:45:00,2000-12-09 08:07:00
flightaware,2011-12-13-AA-466-IAH-MIA,2011-12-13 06:00AM CST,2011-12-13 06:14AM CST, A27 ,2011-12-13 09:11AM EST,2011-12-13 09:09AM EST, D46 ,2011-12-13 06:00:00,2011-12-13 06:14:00,2011-12-13 09:11:00,2011-12-13 09:09:00
foxbusiness,2011-12-13-AA-466-IAH-MIA,6:00 AM- Dec 13,6:14 AM- Dec 13,A27,9:20 AM- Dec 13,9:18 AM- Dec 13,Terminal D - D46,2000-12-13 06:00:00,2000-12-13 06:14:00,2000-12-13 09:20:00,2000-12-13 09:18:00
flightaware,2011-12-29-AA-1522-SFO-ORD,2011-12-29 11:55PM PST,2011-12-29 12:46AM PST, 56B ,2011-12-29 05:40AM CST,2011-12-29 06:10AM CST, K9 ,2011-12-29 23:55:00,2011-12-29 12:46:00,2011-12-29 05:40:00,2011-12-29 06:10:00
flightexplorer,2011-12-28-AA-1522-SFO-ORD,,12/28/2011 12:12AM PST,,,12/28/2011 5:54AM CST,,,2011-12-28 00:12:00,,2011-12-28 05:54:00
businesstravellogue,2011-12-16-UA-3373-IAD-PHL,,2011-12-16 08:26 AM,C20,,2011-12-16 09:19 AM,D7,,2011-12-16 08:26:00,,2011-12-16 09:19:00
flightview,2011-12-19-UA-858-PVG-SFO,,1:45 PMDec 19,,,7:55 AMDec 19,,,2000-12-19 13:45:00,,2000-12-19 07:55:00
gofox,2011-12-19-AA-59-JFK-SFO,7:10 AM- Dec 19,7:43 AM- Dec 19,,10:45 AM- Dec 19,10:33 AM- Dec 19,,2000-12-19 07:10:00,2000-12-19 07:43:00,2000-12-19 10:45:00,2000-12-19 10:33:00
foxbusiness,2011-12-28-UA-6273-YYC-SFO,,8:10 AMDec 28,,,9:46 AMDec 28,,,2000-12-28 08:10:00,,2000-12-28 09:46:00
wunderground,2011-12-31-AA-204-LAX-MCO,2011-12-31 11:25PM PST,2011-12-31 12:18AM PST, 43 ,2011-12-31 06:53AM EST,2011-12-31 07:28AM EST, 14 ,2011-12-31 23:25:00,2011-12-31 00:18:00,2011-12-31 06:53:00,2011-12-31 07:28:00
sfo,2011-12-05-AA-431-MIA-SFO,,,,2011-12-05 11:50 AM,,57,,,2011-12-05 11:50:00,
airtravelcenter,2011-12-09-UA-843-LAX-ORD,,12/9/11 2:03 PM (-08:00),,,12/9/11 7:23 PM (-06:00),,,2011-12-09 14:03:00,,2011-12-09 19:23:00
boston,2011-12-18-AA-1886-BOS-MIA,,10:58 AMDec 18,,,1:43 PMDec 18,,,2000-12-18 10:58:00,,2000-12-18 13:43:00
foxbusiness,2011-12-25-UA-2945-PHL-CLT,12:00 PM- Dec 25,12:09 PM- Dec 25,,1:45 PM- Dec 25,1:25 PM- Dec 25,,2000-12-25 12:00:00,2000-12-25 12:09:00,2000-12-25 13:45:00,2000-12-25 13:25:00
quicktrip,2011-12-29-AA-643-MIA-ORD,2011-12-29 7:10 AM,2011-12-29 7:07 AM,,2011-12-29 9:35 AM,2011-12-29 9:19 AM,,2011-12-29 07:10:00,2011-12-29 07:07:00,2011-12-29 09:35:00,2011-12-29 09:19:00
travelocity,2011-12-28-AA-3786-IAH-ORD,Dec 28 - 4:00pm,Dec 28 - 3:54pm,A29,Dec 28 - 6:40pm,Dec 28 - 6:21pm,G17/T3,2000-12-28 16:00:00,2000-12-28 15:54:00,2000-12-28 18:40:00,2000-12-28 18:21:00
myrateplan,2011-12-09-AA-4277-CVG-JFK,,12/9/11 12:24 PM (-05:00),,,12/9/11 1:42 PM (-05:00),,,2011-12-09 12:24:00,,2011-12-09 13:42:00
helloflight,2011-12-05-UA-397-JFK-SFO,,12/5/11 8:10 AM (-05:00),,,12/5/11 10:51 AM (-08:00),,,2011-12-05 08:10:00,,2011-12-05 10:51:00
airtravelcenter,2011-12-11-UA-2708-EWR-CLT,,12/11/11 3:17 PM (-05:00),,,12/11/11 4:40 PM (-05:00),,,2011-12-11 15:17:00,,2011-12-11 16:40:00
flightstats,2011-12-10-AA-1640-MIA-MCO,2011-12-10 6:30 PM,2011-12-10 6:30 PM (Estimated),,2011-12-10 7:25 PM,2011-12-10 7:25 PM (Estimated),,2011-12-10 18:30:00,2011-12-10 18:30:00,2011-12-10 19:25:00,2011-12-10 19:25:00
flightaware,2011-12-09-UA-3099-PHX-PHL,2011-12-09 11:55AM MST,2011-12-09 12:12PM MST,,2011-12-09 05:48PM EST,2011-12-09 06:05PM EST,,2011-12-09 11:55:00,2011-12-09 12:12:00,2011-12-09 17:48:00,2011-12-09 18:05:00
travelocity,2011-12-31-AA-222-LAX-BOS,Dec 31 - 7:10am,Dec 31 - 7:05am,47B/T4,Dec 31 - 3:30pm,Dec 31 - 3:20pm,B34,2000-12-31 07:10:00,2000-12-31 07:05:00,2000-12-31 15:30:00,2000-12-31 15:20:00
foxbusiness,2012-01-01-AA-3-JFK-LAX,12:00 PM- Jan 01,12:14 PM- Jan 01,Terminal 8 - 42,3:15 PM- Jan 01,3:11 PM- Jan 01,Terminal 4 - 47B,2000-01-01 12:00:00,2000-01-01 12:14:00,2000-01-01 15:15:00,2000-01-01 15:11:00
flightexplorer,2011-12-28-UA-37-EWR-MCO,,12/28/2011 1:42PM EST,,,12/28/2011 4:06PM EST,,,2011-12-28 13:42:00,,2011-12-28 16:06:00
flytecomm,2011-12-26-UA-3515-IAD-MSP,,12/26/11 8:52 AM (-05:00),,,12/26/11 10:17 AM (-06:00),,,2011-12-26 08:52:00,,2011-12-26 10:17:00
flylouisville,2011-12-07-UA-397-JFK-SFO,08:00 AM  Wed 07-Dec-2011,08:00 AM  Wed 07-Dec-2011,9,11:55 AM  Wed 07-Dec-2011,11:22 AM  Wed 07-Dec-2011,87,2011-12-07 08:00:00,2011-12-07 08:00:00,2011-12-07 11:55:00,2011-12-07 11:22:00
ifly,2011-12-02-UA-3050-PHX-CLT,2011-12-02 11:05 AM,2011-12-02 11:02 AM,,2011-12-02 4:57 PM,2011-12-02 4:44 PM,,2011-12-02 11:05:00,2011-12-02 11:02:00,2011-12-02 16:57:00,2011-12-02 16:44:00
flylouisville,2011-12-29-UA-248-PHX-ORD,,2011-12-29 12:47 PM,3,,2011-12-29 04:52 PM,B12,,2011-12-29 12:47:00,,2011-12-29 16:52:00
ua,2011-12-27-UA-5487-SFO-MRY,Tue- Dec 27 10:37 AM,Tue- Dec 27 11:49 AM,78A,Tue- Dec 27 11:24 AM,Tue- Dec 27 12:33 PM,--,2000-12-27 10:37:00,2000-12-27 11:49:00,2000-12-27 11:24:00,2000-12-27 12:33:00
flightstats,2011-12-19-AA-2525-DFW-MIA,2011-12-19 7:25 AM,2011-12-19 9:01 AM,,2011-12-19 11:10 AM,2011-12-19 12:41 PM,,2011-12-19 07:25:00,2011-12-19 09:01:00,2011-12-19 11:10:00,2011-12-19 12:41:00
flightexplorer,2011-12-14-AA-1007-MIA-PHX,,12/14/2011 6:46PM EST,,,12/14/2011 9:21PM MST,,,2011-12-14 18:46:00,,2011-12-14 21:21:00
myrateplan,2011-12-28-UA-843-LAX-ORD,,12/28/11 2:38 PM (-08:00),,,12/28/11 8:12 PM (-06:00),,,2011-12-28 14:38:00,,2011-12-28 20:12:00
panynj,2011-12-07-AA-3786-IAH-ORD,4:00 PM- Dec 07,4:16 PM- Dec 07,A29,6:40 PM- Dec 07,6:25 PM- Dec 07,Terminal 3,2000-12-07 16:00:00,2000-12-07 16:16:00,2000-12-07 18:40:00,2000-12-07 18:25:00
flightstats,2011-12-22-UA-2945-PHL-CLT,2011-12-22 12:00 PM,2011-12-22 12:00 PM,,2011-12-22 1:45 PM,2011-12-22 1:36 PM,,2011-12-22 12:00:00,2011-12-22 12:00:00,2011-12-22 13:45:00,2011-12-22 13:36:00
flights,2011-12-02-AA-3859-IAH-ORD,07:10 AM  Fri 02-Dec-2011,07:13 AM  Fri 02-Dec-2011,29,09:40 AM  Fri 02-Dec-2011,09:37 AM  Fri 02-Dec-2011,G7,2011-12-02 07:10:00,2011-12-02 07:13:00,2011-12-02 09:40:00,2011-12-02 09:37:00
airtravelcenter,2011-12-27-AA-484-DFW-MIA,,12/27/11 4:31 PM (-06:00),,,12/27/11 7:39 PM (-05:00),,,2011-12-27 16:31:00,,2011-12-27 19:39:00
panynj,2011-12-11-AA-3859-IAH-ORD,7:10 AM- Dec 11,7:12 AM- Dec 11,A30,9:40 AM- Dec 11,9:16 AM- Dec 11,Terminal 3,2000-12-11 07:10:00,2000-12-11 07:12:00,2000-12-11 09:40:00,2000-12-11 09:16:00
world-flight-tracker,2011-12-17-AA-643-MIA-ORD,2011-12-17 7:10 AM,2011-12-17 7:09 AM,,2011-12-17 9:35 AM,2011-12-17 9:50 AM,,2011-12-17 07:10:00,2011-12-17 07:09:00,2011-12-17 09:35:00,2011-12-17 09:50:00
boston,2011-12-29-AA-404-MIA-MCO,6:45 AM- Dec 29,6:55 AM- Dec 29,,7:45 AM- Dec 29,7:33 AM- Dec 29,,2000-12-29 06:45:00,2000-12-29 06:55:00,2000-12-29 07:45:00,2000-12-29 07:33:00
weather,2012-01-02-UA-3050-PHX-CLT,2012-01-02 11:05 AM,,,2012-01-02 04:57 PM,,,2012-01-02 11:05:00,,2012-01-02 16:57:00,
weather,2011-12-11-AA-1522-SFO-ORD,2011-12-11 11:55 PM,2011-12-11 12:29 AM,,2011-12-11 05:50 AM,2011-12-11 06:05 AM,,2011-12-11 23:55:00,2011-12-11 00:29:00,2011-12-11 05:50:00,2011-12-11 06:05:00
allegiantair,2011-12-29-UA-2314-ATL-PHL,,3:05 PMDec 29,,,5:00 PMDec 29,,,2000-12-29 15:05:00,,2000-12-29 17:00:00
flylouisville,2011-12-01-UA-397-JFK-SFO,08:00 AM  Thu 01-Dec-2011,08:29 AM  Thu 01-Dec-2011,12,11:55 AM  Thu 01-Dec-2011,11:58 AM  Thu 01-Dec-2011,83,2011-12-01 08:00:00,2011-12-01 08:29:00,2011-12-01 11:55:00,2011-12-01 11:58:00
wunderground,2011-12-10-UA-5487-SFO-MRY,2011-12-10 10:39AM PST,2011-12-10 10:58AM PST, 87A ,2011-12-10 11:10AM PST,2011-12-10 11:20AM PST,,2011-12-10 10:39:00,2011-12-10 10:58:00,2011-12-10 11:10:00,2011-12-10 11:20:00
ua,2011-12-14-UA-3373-IAD-PHL,Wed- Dec 14 8:29 AM,Wed- Dec 14 8:32 AM,C22,Wed- Dec 14 9:24 AM,Wed- Dec 14 9:24 AM,D7,2000-12-14 08:29:00,2000-12-14 08:32:00,2000-12-14 09:24:00,2000-12-14 09:24:00
wunderground,2011-12-09-AA-3063-SLC-LAX,2011-12-09 08:20PM MST,2011-12-09 08:33PM MST, A3 ,2011-12-09 09:11PM PST,2011-12-09 09:00PM PST, 44F ,2011-12-09 08:20:00,2011-12-09 20:33:00,2011-12-09 09:11:00,2011-12-09 21:00:00
world-flight-tracker,2011-12-07-UA-233-LAX-JFK,2011-12-07 4:25 PM,2011-12-07 4:28 PM (Estimated runway),,2011-12-07 12:29 AM,2011-12-07 12:23 AM (Estimated runway),,2011-12-07 16:25:00,2011-12-07 16:28:00,2011-12-07 00:29:00,2011-12-07 00:23:00
foxbusiness,2011-12-20-AA-4277-CVG-JFK,12:10 PM- Dec 20,12:19 PM- Dec 20,Terminal 2,2:15 PM- Dec 20,1:49 PM- Dec 20,Terminal 8 - 31B,2000-12-20 12:10:00,2000-12-20 12:19:00,2000-12-20 14:15:00,2000-12-20 13:49:00
businesstravellogue,2011-12-03-AA-85-JFK-SFO,03:05 PM  Sat 03-Dec-2011,03:19 PM  Sat 03-Dec-2011,B6,06:30 PM  Sat 03-Dec-2011,06:11 PM  Sat 03-Dec-2011,57,2011-12-03 15:05:00,2011-12-03 15:19:00,2011-12-03 18:30:00,2011-12-03 18:11:00
flightexplorer,2011-12-28-UA-233-LAX-JFK,,12/27/2011 5:36PM PST,,,12/28/2011 1:01AM EST,,,2011-12-27 17:36:00,,2011-12-28 01:01:00
allegiantair,2012-01-03-AA-466-IAH-MIA,6:00 AM- Jan 03,6:23 AM- Jan 03,A27,9:20 AM- Jan 03,9:31 AM- Jan 03,Terminal D - D19,2000-01-03 06:00:00,2000-01-03 06:23:00,2000-01-03 09:20:00,2000-01-03 09:31:00
foxbusiness,2011-12-03-AA-4198-ORD-CLE,10:40 AM- Dec 03,10:58 AM- Dec 03,,12:55 PM- Dec 03,12:50 PM- Dec 03,,2000-12-03 10:40:00,2000-12-03 10:58:00,2000-12-03 12:55:00,2000-12-03 12:50:00
flightstats,2011-12-10-AA-3859-IAH-ORD,2011-12-10 7:10 AM,2011-12-10 7:03 AM,,2011-12-10 9:40 AM,2011-12-10 9:26 AM,,2011-12-10 07:10:00,2011-12-10 07:03:00,2011-12-10 09:40:00,2011-12-10 09:26:00
flights,2011-12-02-UA-2726-FLL-PHL,04:00 PM  Fri 02-Dec-2011,03:57 PM  Fri 02-Dec-2011,E3,06:46 PM  Fri 02-Dec-2011,06:30 PM  Fri 02-Dec-2011,B6,2011-12-02 16:00:00,2011-12-02 15:57:00,2011-12-02 06:46:00,2011-12-02 18:30:00
businesstravellogue,2011-12-26-UA-233-LAX-JFK,04:25 PM  Mon 26-Dec-2011,,,12:44 AM  Tue 27-Dec-2011,,,2011-12-26 16:25:00,,2011-12-27 00:44:00,
businesstravellogue,2011-12-02-AA-3756-ORD-SLC,12:15 PM  Fri 02-Dec-2011,12:29 PM  Fri 02-Dec-2011,H3A,02:45 PM  Fri 02-Dec-2011,02:41 PM  Fri 02-Dec-2011,A3,2011-12-02 12:15:00,2011-12-02 12:29:00,2011-12-02 14:45:00,2011-12-02 14:41:00
allegiantair,2011-12-17-AA-789-ORD-DEN,1:05 PM- Dec 17,1:17 PM- Dec 17,H11B,2:35 PM- Dec 17,2:28 PM- Dec 17,A47,2000-12-17 13:05:00,2000-12-17 13:17:00,2000-12-17 14:35:00,2000-12-17 14:28:00
panynj,2012-01-01-AA-649-ORD-SNA,1:30 PM- Jan 01,,K7,3:50 PM- Jan 01,,Terminal A - 7,2000-01-01 13:30:00,,2000-01-01 15:50:00,
allegiantair,2011-12-08-UA-248-PHX-ORD,,1:03 PMDec 08,,,5:06 PMDec 08,,,2000-12-08 13:03:00,,2000-12-08 17:06:00
gofox,2011-12-07-UA-248-PHX-ORD,,1:10 PMDec 07,,,5:09 PMDec 07,,,2000-12-07 13:10:00,,2000-12-07 17:09:00
orbitz,2011-12-04-UA-414-LAX-SFO,6:13aDec 4,6:14aDec 4, 75B,7:23aDec 4,7:15aDec 4, 85,2000-12-04 06:13:00,2000-12-04 06:14:00,2000-12-04 07:23:00,2000-12-04 07:15:00
mytripandmore,2011-12-22-AA-484-DFW-MIA,4:15pDec 22,4:21pDec 22, D28,7:55pDec 22,8:30pDec 22, D6,2000-12-22 16:15:00,2000-12-22 16:21:00,2000-12-22 19:55:00,2000-12-22 20:30:00
myrateplan,2012-01-02-AA-3823-LAX-DEN,,1/2/12 9:11 PM (-08:00),,,1/3/12 12:00 AM (-07:00),,,2012-01-02 21:11:00,,2012-01-03 00:00:00
gofox,2011-12-02-AA-484-DFW-MIA,4:15 PM- Dec 02,4:59 PM- Dec 02,,7:55 PM- Dec 02,8:19 PM- Dec 02,,2000-12-02 16:15:00,2000-12-02 16:59:00,2000-12-02 19:55:00,2000-12-02 20:19:00
flightwise,2011-12-25-AA-1640-MIA-MCO,2011-12-25 06:30PM EST,2011-12-25 06:40PM EST, D44 ,2011-12-25 07:05PM EST,2011-12-25 07:15PM EST, 14 ,2011-12-25 18:30:00,2011-12-25 18:40:00,2011-12-25 19:05:00,2011-12-25 19:15:00
panynj,2011-12-08-UA-843-LAX-ORD,,2:10 PMDec 08,,,7:39 PMDec 08,,,2000-12-08 14:10:00,,2000-12-08 19:39:00
wunderground,2011-12-30-AA-59-JFK-SFO,2011-12-30 07:10AM EST,2011-12-30 07:37AM EST, 42 ,2011-12-30 10:39AM PST,2011-12-30 10:26AM PST, 57 ,2011-12-30 07:10:00,2011-12-30 07:37:00,2011-12-30 10:39:00,2011-12-30 10:26:00
flightarrival,2011-12-10-AA-404-MIA-MCO,6:45 AM- Dec 10,7:02 AM- Dec 10,,7:45 AM- Dec 10,7:40 AM- Dec 10,,2000-12-10 06:45:00,2000-12-10 07:02:00,2000-12-10 07:45:00,2000-12-10 07:40:00
weather,2011-12-03-AA-4277-CVG-JFK,2011-12-03 12:10 PM,,,2011-12-03 02:15 PM,,,2011-12-03 12:10:00,,2011-12-03 14:15:00,
myrateplan,2011-12-25-UA-233-LAX-JFK,,12/25/11 4:29 PM (-08:00),,,12/26/11 12:12 AM (-05:00),,,2011-12-25 16:29:00,,2011-12-26 00:12:00
flights,2011-12-29-UA-938-DEN-ORD,,2011-12-29 03:57 PM,B38,,2011-12-29 07:23 PM,C26,,2011-12-29 03:57:00,,2011-12-29 19:23:00
panynj,2011-12-24-UA-2726-FLL-PHL,4:00 PM- Dec 24,4:05 PM- Dec 24,Terminal 3 - E3,6:46 PM- Dec 24,6:46 PM- Dec 24,A26,2000-12-24 16:00:00,2000-12-24 16:05:00,2000-12-24 18:46:00,2000-12-24 18:46:00
businesstravellogue,2011-12-09-AA-1544-SAN-ORD,,2011-12-09 11:19 AM,27,,2011-12-09 05:12 PM,H6,,2011-12-09 11:19:00,,2011-12-09 05:12:00
businesstravellogue,2011-12-12-UA-1500-IAH-GUA,,2011-12-12 09:13 AM,8,,2011-12-12 11:45 AM,15,,2011-12-12 09:13:00,,2011-12-12 11:45:00
helloflight,2011-12-11-UA-1500-IAH-GUA,12/11/11 8:55 AM (-06:00),,,12/11/11 11:45 AM (-06:00),,,2011-12-11 08:55:00,,2011-12-11 11:45:00,
flights,2011-12-09-UA-2704-DTW-PHX,,2011-12-09 11:12 AM,D14,,2011-12-09 01:43 PM,A6,,2011-12-09 11:12:00,,2011-12-09 01:43:00
flylouisville,2011-12-18-AA-1733-ORD-PHX,07:45 PM  Sun 18-Dec-2011,,H16,10:30 PM  Sun 18-Dec-2011,,6,2011-12-18 07:45:00,,2011-12-18 22:30:00,
travelocity,2011-12-09-AA-649-ORD-SNA,Dec 09 - 1:30pm,Dec 09 - 1:24pm,K15/T3,Dec 09 - 3:50pm,Dec 09 - 3:40pm,7,2000-12-09 13:30:00,2000-12-09 13:24:00,2000-12-09 15:50:00,2000-12-09 15:40:00
mytripandmore,2011-12-29-UA-2945-PHL-CLT,Dec 29 - 12:00noon,Dec 29 - Contact Airline,Not provided by airline,Dec 29 - 1:45pm,Dec 29 - Contact Airline,Not provided by airline,2000-12-29 12:00:00,2000-12-29 00:00:00,2000-12-29 13:45:00,2000-12-29 00:00:00
panynj,2011-12-03-AA-643-MIA-ORD,7:10 AM- Dec 03,7:23 AM- Dec 03,Terminal D - D3,9:35 AM- Dec 03,9:20 AM- Dec 03,K16,2000-12-03 07:10:00,2000-12-03 07:23:00,2000-12-03 09:35:00,2000-12-03 09:20:00
myrateplan,2011-12-17-UA-2906-PHL-MCO,,12/17/11 3:57 PM (-05:00),,,12/17/11 6:01 PM (-05:00),,,2011-12-17 15:57:00,,2011-12-17 18:01:00
flightarrival,2011-12-13-AA-3823-LAX-DEN,9:00 PM- Dec 13,Not Available,,12:15 AM- Dec 14,Not Available,,2000-12-13 21:00:00,2000-01-01 00:00:00,2000-12-14 00:15:00,2000-01-01 00:00:00
weather,2011-12-07-UA-938-DEN-ORD,2011-12-07 04:16 PM,,,2011-12-07 07:35 PM,,,2011-12-07 16:16:00,,2011-12-07 19:35:00,
boston,2011-12-13-AA-3823-LAX-DEN,9:00 PM- Dec 13,Not Available,,12:15 AM- Dec 14,Not Available,,2000-12-13 21:00:00,2000-01-01 00:00:00,2000-12-14 00:15:00,2000-01-01 00:00:00
quicktrip,2011-12-09-UA-2906-PHL-MCO,2011-12-09 3:50 PM,2011-12-09 3:46 PM,,2011-12-09 6:23 PM,2011-12-09 6:28 PM,,2011-12-09 03:50:00,2011-12-09 03:46:00,2011-12-09 18:23:00,2011-12-09 18:28:00
foxbusiness,2011-12-04-AA-4330-CVG-ORD,,3:46 PMDec 04,,,3:40 PMDec 04,,,2000-12-04 15:46:00,,2000-12-04 15:40:00
flightview,2011-12-16-UA-257-JFK-SFO,2:30 PM- Dec 16,3:02 PM- Dec 16,8,6:14 PM- Dec 16,5:48 PM- Dec 16,Terminal 3 - 82,2000-12-16 14:30:00,2000-12-16 15:02:00,2000-12-16 18:14:00,2000-12-16 17:48:00
wunderground,2011-12-08-AA-3063-SLC-LAX,2011-12-08 08:20PM MST,2011-12-08 08:31PM MST, A3 ,2011-12-08 09:05PM PST,2011-12-08 08:59PM PST, 44F ,2011-12-08 20:20:00,2011-12-08 20:31:00,2011-12-08 09:05:00,2011-12-08 08:59:00
flightexplorer,2011-12-02-AA-1544-SAN-ORD,,12/2/2011 11:42AM PST,,,12/2/2011 4:58PM CST,,,2011-12-02 11:42:00,,2011-12-02 16:58:00
allegiantair,2011-12-16-AA-484-DFW-MIA,4:15 PM- Dec 16,5:16 PM- Dec 16,D18,7:55 PM- Dec 16,9:05 PM- Dec 16,Terminal D - D51,2000-12-16 16:15:00,2000-12-16 17:16:00,2000-12-16 19:55:00,2000-12-16 21:05:00
flylouisville,2011-12-29-AA-643-MIA-ORD,07:10 AM  Thu 29-Dec-2011,07:07 AM  Thu 29-Dec-2011,D16,09:35 AM  Thu 29-Dec-2011,09:19 AM  Thu 29-Dec-2011,H15,2011-12-29 07:10:00,2011-12-29 07:07:00,2011-12-29 09:35:00,2011-12-29 09:19:00
airtravelcenter,2011-12-16-AA-649-ORD-SNA,12/16/11 1:30 PM (-06:00),,,12/16/11 3:50 PM (-08:00),,,2011-12-16 13:30:00,,2011-12-16 15:50:00,
myrateplan,2011-12-25-UA-37-EWR-MCO,12/25/11 1:29 PM (-05:00),,,12/25/11 4:22 PM (-05:00),,,2011-12-25 13:29:00,,2011-12-25 16:22:00,
flytecomm,2011-12-17-AA-484-DFW-MIA,,12/17/11 4:23 PM (-06:00),,,12/17/11 7:33 PM (-05:00),,,2011-12-17 16:23:00,,2011-12-17 19:33:00
flightexplorer,2011-12-19-UA-248-PHX-ORD,,12/19/2011 12:54PM MST,,,12/19/2011 4:42PM CST,,,2011-12-19 12:54:00,,2011-12-19 16:42:00
mytripandmore,2011-12-13-AA-2050-ORD-MIA,10:40aDec 13,10:38aDec 13, H15,2:45pDec 13,2:20pDec 13, D11,2000-12-13 10:40:00,2000-12-13 10:38:00,2000-12-13 14:45:00,2000-12-13 14:20:00
flytecomm,2011-12-11-AA-1221-MCO-ORD,,12/11/11 8:17 PM (-05:00),,,12/11/11 9:34 PM (-06:00),,,2011-12-11 20:17:00,,2011-12-11 21:34:00
boston,2011-12-27-UA-37-EWR-MCO,,3:28 PMDec 27,,,5:51 PMDec 27,,,2000-12-27 15:28:00,,2000-12-27 17:51:00
foxbusiness,2011-12-19-UA-938-DEN-ORD,,4:22 PMDec 19,,,7:29 PMDec 19,,,2000-12-19 16:22:00,,2000-12-19 19:29:00
aa,2011-12-17-AA-404-MIA-MCO,December 17- 2011               06:45 AM    ,December 17- 2011               06:40 AM    , E5,December 17- 2011               07:45 AM    ,December 17- 2011               07:41 AM    , 15    ,2011-12-17 06:45:00,2011-12-17 06:40:00,2011-12-17 07:45:00,2011-12-17 07:41:00
flytecomm,2011-12-19-UA-3099-PHX-PHL,,12/19/11 12:14 PM (-07:00),,,12/19/11 6:09 PM (-05:00),,,2011-12-19 12:14:00,,2011-12-19 18:09:00
panynj,2011-12-11-UA-2708-EWR-CLT,,3:17 PMDec 11,,,4:41 PMDec 11,,,2000-12-11 15:17:00,,2000-12-11 16:41:00
helloflight,2012-01-01-AA-484-DFW-MIA,,1/1/12 4:29 PM (-06:00),,,1/1/12 7:46 PM (-05:00),,,2012-01-01 16:29:00,,2012-01-01 19:46:00
weather,2011-12-22-AA-415-BOS-ORD,2011-12-22 08:35 AM,,,2011-12-22 10:40 AM,,,2011-12-22 08:35:00,,2011-12-22 10:40:00,
flylouisville,2011-12-31-AA-1279-DFW-PHX,01:00 PM  Sat 31-Dec-2011,01:24 PM  Sat 31-Dec-2011,A22,02:35 PM  Sat 31-Dec-2011,02:48 PM  Sat 31-Dec-2011,4,2011-12-31 13:00:00,2011-12-31 13:24:00,2011-12-31 14:35:00,2011-12-31 14:48:00
flightstats,2011-12-25-UA-3925-IAD-ORF,2011-12-25 8:42 AM,2011-12-25 8:33 AM,,2011-12-25 9:55 AM,2011-12-25 9:31 AM,,2011-12-25 08:42:00,2011-12-25 08:33:00,2011-12-25 09:55:00,2011-12-25 09:31:00
foxbusiness,2011-12-18-AA-3468-CVG-MIA,7:00 AM- Dec 18,7:17 AM- Dec 18,Terminal 2,9:55 AM- Dec 18,9:40 AM- Dec 18,Terminal D - D60,2000-12-18 07:00:00,2000-12-18 07:17:00,2000-12-18 09:55:00,2000-12-18 09:40:00
wunderground,2011-12-01-UA-257-JFK-SFO,2011-12-01 02:30PM EST,2011-12-01 02:42PM EST, 9 ,2011-12-01 05:40PM PST,2011-12-01 05:27PM PST, 80 ,2011-12-01 14:30:00,2011-12-01 14:42:00,2011-12-01 05:40:00,2011-12-01 17:27:00
panynj,2011-12-24-UA-3925-IAD-ORF,,9:00 AMDec 24,,,9:34 AMDec 24,,,2000-12-24 09:00:00,,2000-12-24 09:34:00
foxbusiness,2011-12-20-AA-4344-ORD-DTW,,11:58 AMDec 20,,,1:43 PMDec 20,,,2000-12-20 11:58:00,,2000-12-20 13:43:00
orbitz,2011-12-28-UA-2708-EWR-CLT,2:55pDec 28,2:49pDec 28, -,4:53pDec 28,4:36pDec 28, -,2000-12-28 14:55:00,2000-12-28 14:49:00,2000-12-28 16:53:00,2000-12-28 16:36:00
world-flight-tracker,2012-01-03-AA-204-LAX-MCO,2012-01-03 11:25 PM,2012-01-03 11:25 PM (Estimated),,2012-01-03 6:55 AM,2012-01-03 6:55 AM (Estimated),,2012-01-03 23:25:00,2012-01-03 23:25:00,2012-01-03 06:55:00,2012-01-03 06:55:00
ifly,2012-01-01-UA-2708-EWR-CLT,2012-01-01 2:55 PM,2012-01-01 2:49 PM,,2012-01-01 4:53 PM,2012-01-01 4:46 PM,,2012-01-01 14:55:00,2012-01-01 14:49:00,2012-01-01 16:53:00,2012-01-01 16:46:00
myrateplan,2011-12-11-UA-2314-ATL-PHL,,12/11/11 3:11 PM (-05:00),,,12/11/11 4:29 PM (-05:00),,,2011-12-11 15:11:00,,2011-12-11 16:29:00
flightexplorer,2011-12-14-AA-466-IAH-MIA,,12/14/2011 6:06AM CST,,,12/14/2011 9:05AM EST,,,2011-12-14 06:06:00,,2011-12-14 09:05:00
