src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_clean,actual_dept_clean,scheduled_arrival_clean,actual_arrival_clean
foxbusiness,2012-01-01-AA-3-JFK-LAX,12:00 PM- Jan 01,12:14 PM- Jan 01,Terminal 8 - 42,3:15 PM- Jan 01,3:11 PM- Jan 01,Terminal 4 - 47B,2001-01-01 12:00:00,2001-01-01 12:14:00,2001-01-01 03:15:00,2001-01-01 03:11:00
flightexplorer,2011-12-28-UA-37-EWR-MCO,,12/28/2011 1:42PM EST,,,12/28/2011 4:06PM EST,,,2011-12-28 13:42:00,,2011-12-28 16:06:00
flytecomm,2011-12-26-UA-3515-IAD-MSP,,12/26/11 8:52 AM (-05:00),,,12/26/11 10:17 AM (-06:00),,,,,
flylouisville,2011-12-07-UA-397-JFK-SFO,08:00 AM  Wed 07-Dec-2011,08:00 AM  Wed 07-Dec-2011,9,11:55 AM  Wed 07-Dec-2011,11:22 AM  Wed 07-Dec-2011,87,2011-12-07 08:00:00,2011-12-07 08:00:00,2011-12-07 11:55:00,2011-12-07 11:22:00
ifly,2011-12-02-UA-3050-PHX-CLT,2011-12-02 11:05 AM,2011-12-02 11:02 AM,,2011-12-02 4:57 PM,2011-12-02 4:44 PM,,2011-12-02 11:05:00,2011-12-02 11:02:00,2011-12-02 04:57:00,2011-12-02 04:44:00
flylouisville,2011-12-29-UA-248-PHX-ORD,,2011-12-29 12:47 PM,3,,2011-12-29 04:52 PM,B12,,2011-12-29 12:47:00,,2011-12-29 04:52:00
ua,2011-12-27-UA-5487-SFO-MRY,Tue- Dec 27 10:37 AM,Tue- Dec 27 11:49 AM,78A,Tue- Dec 27 11:24 AM,Tue- Dec 27 12:33 PM,--,2027-12-01 10:37:00,2027-12-01 11:49:00,2027-12-01 11:24:00,2027-12-01 12:33:00
flightstats,2011-12-19-AA-2525-DFW-MIA,2011-12-19 7:25 AM,2011-12-19 9:01 AM,,2011-12-19 11:10 AM,2011-12-19 12:41 PM,,2011-12-19 07:25:00,2011-12-19 09:01:00,2011-12-19 11:10:00,2011-12-19 12:41:00
flightexplorer,2011-12-14-AA-1007-MIA-PHX,,12/14/2011 6:46PM EST,,,12/14/2011 9:21PM MST,,,2011-12-14 18:46:00,,2011-12-14 21:21:00
myrateplan,2011-12-28-UA-843-LAX-ORD,,12/28/11 2:38 PM (-08:00),,,12/28/11 8:12 PM (-06:00),,,,,
panynj,2011-12-07-AA-3786-IAH-ORD,4:00 PM- Dec 07,4:16 PM- Dec 07,A29,6:40 PM- Dec 07,6:25 PM- Dec 07,Terminal 3,2007-12-01 04:00:00,2007-12-01 04:16:00,2007-12-01 06:40:00,2007-12-01 06:25:00
flightstats,2011-12-22-UA-2945-PHL-CLT,2011-12-22 12:00 PM,2011-12-22 12:00 PM,,2011-12-22 1:45 PM,2011-12-22 1:36 PM,,2011-12-22 12:00:00,2011-12-22 12:00:00,2011-12-22 01:45:00,2011-12-22 01:36:00
flights,2011-12-02-AA-3859-IAH-ORD,07:10 AM  Fri 02-Dec-2011,07:13 AM  Fri 02-Dec-2011,29,09:40 AM  Fri 02-Dec-2011,09:37 AM  Fri 02-Dec-2011,G7,2011-12-02 07:10:00,2011-12-02 07:13:00,2011-12-02 09:40:00,2011-12-02 09:37:00
airtravelcenter,2011-12-27-AA-484-DFW-MIA,,12/27/11 4:31 PM (-06:00),,,12/27/11 7:39 PM (-05:00),,,,,
panynj,2011-12-11-AA-3859-IAH-ORD,7:10 AM- Dec 11,7:12 AM- Dec 11,A30,9:40 AM- Dec 11,9:16 AM- Dec 11,Terminal 3,2011-12-01 07:10:00,2011-12-01 07:12:00,2011-12-01 09:40:00,2011-12-01 09:16:00
world-flight-tracker,2011-12-17-AA-643-MIA-ORD,2011-12-17 7:10 AM,2011-12-17 7:09 AM,,2011-12-17 9:35 AM,2011-12-17 9:50 AM,,2011-12-17 07:10:00,2011-12-17 07:09:00,2011-12-17 09:35:00,2011-12-17 09:50:00
boston,2011-12-29-AA-404-MIA-MCO,6:45 AM- Dec 29,6:55 AM- Dec 29,,7:45 AM- Dec 29,7:33 AM- Dec 29,,2029-12-01 06:45:00,2029-12-01 06:55:00,2029-12-01 07:45:00,2029-12-01 07:33:00
weather,2012-01-02-UA-3050-PHX-CLT,2012-01-02 11:05 AM,,,2012-01-02 04:57 PM,,,2012-01-02 11:05:00,,2012-01-02 04:57:00,
weather,2011-12-11-AA-1522-SFO-ORD,2011-12-11 11:55 PM,2011-12-11 12:29 AM,,2011-12-11 05:50 AM,2011-12-11 06:05 AM,,2011-12-11 11:55:00,2011-12-11 12:29:00,2011-12-11 05:50:00,2011-12-11 06:05:00
allegiantair,2011-12-29-UA-2314-ATL-PHL,,3:05 PMDec 29,,,5:00 PMDec 29,,,,,
flylouisville,2011-12-01-UA-397-JFK-SFO,08:00 AM  Thu 01-Dec-2011,08:29 AM  Thu 01-Dec-2011,12,11:55 AM  Thu 01-Dec-2011,11:58 AM  Thu 01-Dec-2011,83,2011-12-01 08:00:00,2011-12-01 08:29:00,2011-12-01 11:55:00,2011-12-01 11:58:00
wunderground,2011-12-10-UA-5487-SFO-MRY,2011-12-10 10:39AM PST,2011-12-10 10:58AM PST, 87A ,2011-12-10 11:10AM PST,2011-12-10 11:20AM PST,,2011-12-10 10:39:00,2011-12-10 10:58:00,2011-12-10 11:10:00,2011-12-10 11:20:00
ua,2011-12-14-UA-3373-IAD-PHL,Wed- Dec 14 8:29 AM,Wed- Dec 14 8:32 AM,C22,Wed- Dec 14 9:24 AM,Wed- Dec 14 9:24 AM,D7,2014-12-01 08:29:00,2014-12-01 08:32:00,2014-12-01 09:24:00,2014-12-01 09:24:00
wunderground,2011-12-09-AA-3063-SLC-LAX,2011-12-09 08:20PM MST,2011-12-09 08:33PM MST, A3 ,2011-12-09 09:11PM PST,2011-12-09 09:00PM PST, 44F ,2011-12-09 20:20:00,2011-12-09 20:33:00,2011-12-09 21:11:00,2011-12-09 21:00:00
world-flight-tracker,2011-12-07-UA-233-LAX-JFK,2011-12-07 4:25 PM,2011-12-07 4:28 PM (Estimated runway),,2011-12-07 12:29 AM,2011-12-07 12:23 AM (Estimated runway),,2011-12-07 04:25:00,,2011-12-07 12:29:00,
foxbusiness,2011-12-20-AA-4277-CVG-JFK,12:10 PM- Dec 20,12:19 PM- Dec 20,Terminal 2,2:15 PM- Dec 20,1:49 PM- Dec 20,Terminal 8 - 31B,2020-12-01 12:10:00,2020-12-01 12:19:00,2020-12-01 02:15:00,2020-12-01 01:49:00
businesstravellogue,2011-12-03-AA-85-JFK-SFO,03:05 PM  Sat 03-Dec-2011,03:19 PM  Sat 03-Dec-2011,B6,06:30 PM  Sat 03-Dec-2011,06:11 PM  Sat 03-Dec-2011,57,,,,
flightexplorer,2011-12-28-UA-233-LAX-JFK,,12/27/2011 5:36PM PST,,,12/28/2011 1:01AM EST,,,2011-12-27 17:36:00,,2011-12-28 01:01:00
allegiantair,2012-01-03-AA-466-IAH-MIA,6:00 AM- Jan 03,6:23 AM- Jan 03,A27,9:20 AM- Jan 03,9:31 AM- Jan 03,Terminal D - D19,2003-01-01 06:00:00,2003-01-01 06:23:00,2003-01-01 09:20:00,2003-01-01 09:31:00
foxbusiness,2011-12-03-AA-4198-ORD-CLE,10:40 AM- Dec 03,10:58 AM- Dec 03,,12:55 PM- Dec 03,12:50 PM- Dec 03,,2003-12-01 10:40:00,2003-12-01 10:58:00,2003-12-01 12:55:00,2003-12-01 12:50:00
flightstats,2011-12-10-AA-3859-IAH-ORD,2011-12-10 7:10 AM,2011-12-10 7:03 AM,,2011-12-10 9:40 AM,2011-12-10 9:26 AM,,2011-12-10 07:10:00,2011-12-10 07:03:00,2011-12-10 09:40:00,2011-12-10 09:26:00
flights,2011-12-02-UA-2726-FLL-PHL,04:00 PM  Fri 02-Dec-2011,03:57 PM  Fri 02-Dec-2011,E3,06:46 PM  Fri 02-Dec-2011,06:30 PM  Fri 02-Dec-2011,B6,2011-12-02 04:00:00,2011-12-02 03:57:00,2011-12-02 06:46:00,2011-12-02 06:30:00
businesstravellogue,2011-12-26-UA-233-LAX-JFK,04:25 PM  Mon 26-Dec-2011,,,12:44 AM  Tue 27-Dec-2011,,,,,2011-12-27 12:44:00,
businesstravellogue,2011-12-02-AA-3756-ORD-SLC,12:15 PM  Fri 02-Dec-2011,12:29 PM  Fri 02-Dec-2011,H3A,02:45 PM  Fri 02-Dec-2011,02:41 PM  Fri 02-Dec-2011,A3,2011-12-02 12:15:00,2011-12-02 12:29:00,2011-12-02 02:45:00,2011-12-02 02:41:00
allegiantair,2011-12-17-AA-789-ORD-DEN,1:05 PM- Dec 17,1:17 PM- Dec 17,H11B,2:35 PM- Dec 17,2:28 PM- Dec 17,A47,2017-12-01 01:05:00,2017-12-01 01:17:00,2017-12-01 02:35:00,2017-12-01 02:28:00
panynj,2012-01-01-AA-649-ORD-SNA,1:30 PM- Jan 01,,K7,3:50 PM- Jan 01,,Terminal A - 7,2001-01-01 01:30:00,,2001-01-01 03:50:00,
allegiantair,2011-12-08-UA-248-PHX-ORD,,1:03 PMDec 08,,,5:06 PMDec 08,,,,,
gofox,2011-12-07-UA-248-PHX-ORD,,1:10 PMDec 07,,,5:09 PMDec 07,,,,,
orbitz,2011-12-04-UA-414-LAX-SFO,6:13aDec 4,6:14aDec 4, 75B,7:23aDec 4,7:15aDec 4, 85,,,,
mytripandmore,2011-12-22-AA-484-DFW-MIA,4:15pDec 22,4:21pDec 22, D28,7:55pDec 22,8:30pDec 22, D6,,,,
myrateplan,2012-01-02-AA-3823-LAX-DEN,,1/2/12 9:11 PM (-08:00),,,1/3/12 12:00 AM (-07:00),,,,,
gofox,2011-12-02-AA-484-DFW-MIA,4:15 PM- Dec 02,4:59 PM- Dec 02,,7:55 PM- Dec 02,8:19 PM- Dec 02,,2002-12-01 04:15:00,2002-12-01 04:59:00,2002-12-01 07:55:00,2002-12-01 08:19:00
flightwise,2011-12-25-AA-1640-MIA-MCO,2011-12-25 06:30PM EST,2011-12-25 06:40PM EST, D44 ,2011-12-25 07:05PM EST,2011-12-25 07:15PM EST, 14 ,2011-12-25 18:30:00,2011-12-25 18:40:00,2011-12-25 19:05:00,2011-12-25 19:15:00
panynj,2011-12-08-UA-843-LAX-ORD,,2:10 PMDec 08,,,7:39 PMDec 08,,,,,
wunderground,2011-12-30-AA-59-JFK-SFO,2011-12-30 07:10AM EST,2011-12-30 07:37AM EST, 42 ,2011-12-30 10:39AM PST,2011-12-30 10:26AM PST, 57 ,2011-12-30 07:10:00,2011-12-30 07:37:00,2011-12-30 10:39:00,2011-12-30 10:26:00
flightarrival,2011-12-10-AA-404-MIA-MCO,6:45 AM- Dec 10,7:02 AM- Dec 10,,7:45 AM- Dec 10,7:40 AM- Dec 10,,2010-12-01 06:45:00,2010-12-01 07:02:00,2010-12-01 07:45:00,2010-12-01 07:40:00
weather,2011-12-03-AA-4277-CVG-JFK,2011-12-03 12:10 PM,,,2011-12-03 02:15 PM,,,2011-12-03 12:10:00,,2011-12-03 02:15:00,
myrateplan,2011-12-25-UA-233-LAX-JFK,,12/25/11 4:29 PM (-08:00),,,12/26/11 12:12 AM (-05:00),,,,,
flights,2011-12-29-UA-938-DEN-ORD,,2011-12-29 03:57 PM,B38,,2011-12-29 07:23 PM,C26,,2011-12-29 03:57:00,,2011-12-29 07:23:00
panynj,2011-12-24-UA-2726-FLL-PHL,4:00 PM- Dec 24,4:05 PM- Dec 24,Terminal 3 - E3,6:46 PM- Dec 24,6:46 PM- Dec 24,A26,2024-12-01 04:00:00,2024-12-01 04:05:00,2024-12-01 06:46:00,2024-12-01 06:46:00
businesstravellogue,2011-12-09-AA-1544-SAN-ORD,,2011-12-09 11:19 AM,27,,2011-12-09 05:12 PM,H6,,2011-12-09 11:19:00,,2011-12-09 05:12:00
businesstravellogue,2011-12-12-UA-1500-IAH-GUA,,2011-12-12 09:13 AM,8,,2011-12-12 11:45 AM,15,,2011-12-12 09:13:00,,2011-12-12 11:45:00
helloflight,2011-12-11-UA-1500-IAH-GUA,12/11/11 8:55 AM (-06:00),,,12/11/11 11:45 AM (-06:00),,,,,,
flights,2011-12-09-UA-2704-DTW-PHX,,2011-12-09 11:12 AM,D14,,2011-12-09 01:43 PM,A6,,2011-12-09 11:12:00,,2011-12-09 01:43:00
flylouisville,2011-12-18-AA-1733-ORD-PHX,07:45 PM  Sun 18-Dec-2011,,H16,10:30 PM  Sun 18-Dec-2011,,6,2011-12-18 07:45:00,,2011-12-18 10:30:00,
travelocity,2011-12-09-AA-649-ORD-SNA,Dec 09 - 1:30pm,Dec 09 - 1:24pm,K15/T3,Dec 09 - 3:50pm,Dec 09 - 3:40pm,7,2009-12-01 13:30:00,2009-12-01 13:24:00,2009-12-01 15:50:00,2009-12-01 15:40:00
mytripandmore,2011-12-29-UA-2945-PHL-CLT,Dec 29 - 12:00noon,Dec 29 - Contact Airline,Not provided by airline,Dec 29 - 1:45pm,Dec 29 - Contact Airline,Not provided by airline,,,2029-12-01 13:45:00,
panynj,2011-12-03-AA-643-MIA-ORD,7:10 AM- Dec 03,7:23 AM- Dec 03,Terminal D - D3,9:35 AM- Dec 03,9:20 AM- Dec 03,K16,2003-12-01 07:10:00,2003-12-01 07:23:00,2003-12-01 09:35:00,2003-12-01 09:20:00
myrateplan,2011-12-17-UA-2906-PHL-MCO,,12/17/11 3:57 PM (-05:00),,,12/17/11 6:01 PM (-05:00),,,,,
flightarrival,2011-12-13-AA-3823-LAX-DEN,9:00 PM- Dec 13,Not Available,,12:15 AM- Dec 14,Not Available,,2013-12-01 09:00:00,,2014-12-01 12:15:00,
weather,2011-12-07-UA-938-DEN-ORD,2011-12-07 04:16 PM,,,2011-12-07 07:35 PM,,,2011-12-07 04:16:00,,2011-12-07 07:35:00,
boston,2011-12-13-AA-3823-LAX-DEN,9:00 PM- Dec 13,Not Available,,12:15 AM- Dec 14,Not Available,,2013-12-01 09:00:00,,2014-12-01 12:15:00,
quicktrip,2011-12-09-UA-2906-PHL-MCO,2011-12-09 3:50 PM,2011-12-09 3:46 PM,,2011-12-09 6:23 PM,2011-12-09 6:28 PM,,2011-12-09 03:50:00,2011-12-09 03:46:00,2011-12-09 06:23:00,2011-12-09 06:28:00
foxbusiness,2011-12-04-AA-4330-CVG-ORD,,3:46 PMDec 04,,,3:40 PMDec 04,,,,,
flightview,2011-12-16-UA-257-JFK-SFO,2:30 PM- Dec 16,3:02 PM- Dec 16,8,6:14 PM- Dec 16,5:48 PM- Dec 16,Terminal 3 - 82,2016-12-01 02:30:00,2016-12-01 03:02:00,2016-12-01 06:14:00,2016-12-01 05:48:00
wunderground,2011-12-08-AA-3063-SLC-LAX,2011-12-08 08:20PM MST,2011-12-08 08:31PM MST, A3 ,2011-12-08 09:05PM PST,2011-12-08 08:59PM PST, 44F ,2011-12-08 20:20:00,2011-12-08 20:31:00,2011-12-08 21:05:00,2011-12-08 20:59:00
flightexplorer,2011-12-02-AA-1544-SAN-ORD,,12/2/2011 11:42AM PST,,,12/2/2011 4:58PM CST,,,2011-12-02 11:42:00,,
allegiantair,2011-12-16-AA-484-DFW-MIA,4:15 PM- Dec 16,5:16 PM- Dec 16,D18,7:55 PM- Dec 16,9:05 PM- Dec 16,Terminal D - D51,2016-12-01 04:15:00,2016-12-01 05:16:00,2016-12-01 07:55:00,2016-12-01 09:05:00
flylouisville,2011-12-29-AA-643-MIA-ORD,07:10 AM  Thu 29-Dec-2011,07:07 AM  Thu 29-Dec-2011,D16,09:35 AM  Thu 29-Dec-2011,09:19 AM  Thu 29-Dec-2011,H15,2011-12-29 07:10:00,2011-12-29 07:07:00,2011-12-29 09:35:00,2011-12-29 09:19:00
airtravelcenter,2011-12-16-AA-649-ORD-SNA,12/16/11 1:30 PM (-06:00),,,12/16/11 3:50 PM (-08:00),,,,,,
myrateplan,2011-12-25-UA-37-EWR-MCO,12/25/11 1:29 PM (-05:00),,,12/25/11 4:22 PM (-05:00),,,,,,
flytecomm,2011-12-17-AA-484-DFW-MIA,,12/17/11 4:23 PM (-06:00),,,12/17/11 7:33 PM (-05:00),,,,,
flightexplorer,2011-12-19-UA-248-PHX-ORD,,12/19/2011 12:54PM MST,,,12/19/2011 4:42PM CST,,,,,
mytripandmore,2011-12-13-AA-2050-ORD-MIA,10:40aDec 13,10:38aDec 13, H15,2:45pDec 13,2:20pDec 13, D11,,,,
flytecomm,2011-12-11-AA-1221-MCO-ORD,,12/11/11 8:17 PM (-05:00),,,12/11/11 9:34 PM (-06:00),,,,,
boston,2011-12-27-UA-37-EWR-MCO,,3:28 PMDec 27,,,5:51 PMDec 27,,,,,
foxbusiness,2011-12-19-UA-938-DEN-ORD,,4:22 PMDec 19,,,7:29 PMDec 19,,,,,
aa,2011-12-17-AA-404-MIA-MCO,December 17- 2011               06:45 AM    ,December 17- 2011               06:40 AM    , E5,December 17- 2011               07:45 AM    ,December 17- 2011               07:41 AM    , 15    ,2011-12-17 06:45:00,2011-12-17 06:40:00,2011-12-17 07:45:00,2011-12-17 07:41:00
flytecomm,2011-12-19-UA-3099-PHX-PHL,,12/19/11 12:14 PM (-07:00),,,12/19/11 6:09 PM (-05:00),,,,,
panynj,2011-12-11-UA-2708-EWR-CLT,,3:17 PMDec 11,,,4:41 PMDec 11,,,,,
helloflight,2012-01-01-AA-484-DFW-MIA,,1/1/12 4:29 PM (-06:00),,,1/1/12 7:46 PM (-05:00),,,,,
weather,2011-12-22-AA-415-BOS-ORD,2011-12-22 08:35 AM,,,2011-12-22 10:40 AM,,,2011-12-22 08:35:00,,2011-12-22 10:40:00,
flylouisville,2011-12-31-AA-1279-DFW-PHX,01:00 PM  Sat 31-Dec-2011,01:24 PM  Sat 31-Dec-2011,A22,02:35 PM  Sat 31-Dec-2011,02:48 PM  Sat 31-Dec-2011,4,,,,
flightstats,2011-12-25-UA-3925-IAD-ORF,2011-12-25 8:42 AM,2011-12-25 8:33 AM,,2011-12-25 9:55 AM,2011-12-25 9:31 AM,,2011-12-25 08:42:00,2011-12-25 08:33:00,2011-12-25 09:55:00,2011-12-25 09:31:00
foxbusiness,2011-12-18-AA-3468-CVG-MIA,7:00 AM- Dec 18,7:17 AM- Dec 18,Terminal 2,9:55 AM- Dec 18,9:40 AM- Dec 18,Terminal D - D60,2018-12-01 07:00:00,2018-12-01 07:17:00,2018-12-01 09:55:00,2018-12-01 09:40:00
wunderground,2011-12-01-UA-257-JFK-SFO,2011-12-01 02:30PM EST,2011-12-01 02:42PM EST, 9 ,2011-12-01 05:40PM PST,2011-12-01 05:27PM PST, 80 ,2011-12-01 14:30:00,2011-12-01 14:42:00,2011-12-01 17:40:00,2011-12-01 17:27:00
panynj,2011-12-24-UA-3925-IAD-ORF,,9:00 AMDec 24,,,9:34 AMDec 24,,,,,
foxbusiness,2011-12-20-AA-4344-ORD-DTW,,11:58 AMDec 20,,,1:43 PMDec 20,,,,,
orbitz,2011-12-28-UA-2708-EWR-CLT,2:55pDec 28,2:49pDec 28, -,4:53pDec 28,4:36pDec 28, -,,,,
world-flight-tracker,2012-01-03-AA-204-LAX-MCO,2012-01-03 11:25 PM,2012-01-03 11:25 PM (Estimated),,2012-01-03 6:55 AM,2012-01-03 6:55 AM (Estimated),,2012-01-03 11:25:00,,2012-01-03 06:55:00,
ifly,2012-01-01-UA-2708-EWR-CLT,2012-01-01 2:55 PM,2012-01-01 2:49 PM,,2012-01-01 4:53 PM,2012-01-01 4:46 PM,,2012-01-01 02:55:00,2012-01-01 02:49:00,2012-01-01 04:53:00,2012-01-01 04:46:00
myrateplan,2011-12-11-UA-2314-ATL-PHL,,12/11/11 3:11 PM (-05:00),,,12/11/11 4:29 PM (-05:00),,,,,
flightexplorer,2011-12-14-AA-466-IAH-MIA,,12/14/2011 6:06AM CST,,,12/14/2011 9:05AM EST,,,,,2011-12-14 09:05:00
wunderground,2011-12-16-UA-3925-IAD-ORF,2011-12-16 08:42AM EST,2011-12-16 09:01AM EST, A2G ,2011-12-16 09:20AM EST,2011-12-16 09:39AM EST,,2011-12-16 08:42:00,2011-12-16 09:01:00,2011-12-16 09:20:00,2011-12-16 09:39:00
helloflight,2011-12-07-AA-1664-MIA-ATL,,12/7/11 10:27 AM (-05:00),,,12/7/11 11:55 AM (-05:00),,,,,
mco,2011-12-11-AA-204-LAX-MCO,,,,2011-12-11 Sun  06:55,2011-12-11 Sun  06:28,14?,,,2011-12-11 06:55:00,2011-12-11 06:28:00
gofox,2011-12-31-AA-2268-PHX-ORD,7:15 AM- Dec 31,7:19 AM- Dec 31,,11:35 AM- Dec 31,11:05 AM- Dec 31,,2031-12-01 07:15:00,2031-12-01 07:19:00,2031-12-01 11:35:00,2031-12-01 11:05:00
flytecomm,2011-12-07-AA-222-LAX-BOS,,12/7/11 7:23 AM (-08:00),,,12/7/11 3:13 PM (-05:00),,,,,
flightview,2011-12-13-UA-664-ORD-PHL,1:27 PM- Dec 13,1:49 PM- Dec 13,C24,4:25 PM- Dec 13,4:23 PM- Dec 13,D9,2013-12-01 01:27:00,2013-12-01 01:49:00,2013-12-01 04:25:00,2013-12-01 04:23:00
businesstravellogue,2011-12-01-UA-257-JFK-SFO,02:30 PM  Thu 01-Dec-2011,02:26 PM  Thu 01-Dec-2011,9,06:15 PM  Thu 01-Dec-2011,05:42 PM  Thu 01-Dec-2011,80,2011-12-01 02:30:00,2011-12-01 02:26:00,2011-12-01 06:15:00,2011-12-01 05:42:00
orbitz,2011-12-27-AA-3756-ORD-SLC,12:15pDec 27,12:08pDec 27, G19,2:45pDec 27,2:27pDec 27, A1,,,,
myrateplan,2011-12-12-AA-1279-DFW-PHX,,12/12/11 1:16 PM (-06:00),,,12/12/11 2:28 PM (-07:00),,,,,
world-flight-tracker,2011-12-09-AA-85-JFK-SFO,2011-12-09 3:05 PM,2011-12-09 3:13 PM,,2011-12-09 6:30 PM,2011-12-09 6:25 PM,,2011-12-09 03:05:00,2011-12-09 03:13:00,2011-12-09 06:30:00,2011-12-09 06:25:00
wunderground,2011-12-20-AA-4198-ORD-CLE,2011-12-20 10:40AM CST,2011-12-20 10:51AM CST, G2A ,2011-12-20 12:46PM EST,2011-12-20 12:40PM EST, A1 ,,,,
quicktrip,2012-01-03-AA-1917-JFK-MCO,2012-01-03 2:55 PM,2012-01-03 4:06 PM,,2012-01-03 5:55 PM,2012-01-03 6:58 PM,,2012-01-03 02:55:00,2012-01-03 04:06:00,2012-01-03 05:55:00,2012-01-03 06:58:00
ord,2011-12-27-AA-789-ORD-DEN,2011-12-27 1:05 PM,,H11A,2011-12-27 2:35 PM,,A49,2011-12-27 01:05:00,,2011-12-27 02:35:00,
weather,2011-12-09-UA-233-LAX-JFK,2011-12-09 04:25 PM,2011-12-09 04:51 PM,,2011-12-09 12:29 AM,2011-12-09 12:33 AM,,2011-12-09 04:25:00,2011-12-09 04:51:00,2011-12-09 12:29:00,2011-12-09 12:33:00
flightview,2011-12-30-AA-59-JFK-SFO,7:10 AM- Dec 30,7:37 AM- Dec 30,Terminal 8 - 42,10:45 AM- Dec 30,10:43 AM- Dec 30,Terminal 2 - 57,2030-12-01 07:10:00,2030-12-01 07:37:00,2030-12-01 10:45:00,2030-12-01 10:43:00
ua,2011-12-05-UA-3050-PHX-CLT,Mon- Dec 5 11:05 AM,Mon- Dec 5 11:21 AM,A11,Mon- Dec 5 4:57 PM,Mon- Dec 5 5:07 PM,B5,,,,
world-flight-tracker,2012-01-02-UA-2830-MCO-CLT,2012-01-02 3:27 PM,2012-01-02 3:55 PM,,2012-01-02 5:05 PM,2012-01-02 5:27 PM,,2012-01-02 03:27:00,2012-01-02 03:55:00,2012-01-02 05:05:00,2012-01-02 05:27:00
helloflight,2012-01-03-AA-4344-ORD-DTW,,1/3/12 11:52 AM (-06:00),,,1/3/12 1:34 PM (-05:00),,,,,
flightview,2011-12-28-AA-3-JFK-LAX,12:00 PM- Dec 28,12:11 PM- Dec 28,Terminal 8 - 44,3:15 PM- Dec 28,2:34 PM- Dec 28,Terminal 4 - 46A,2028-12-01 12:00:00,2028-12-01 12:11:00,2028-12-01 03:15:00,2028-12-01 02:34:00
gofox,2012-01-01-AA-1733-ORD-PHX,7:45 PM- Jan 01,,,10:30 PM- Jan 01,,,2001-01-01 07:45:00,,2001-01-01 10:30:00,
panynj,2012-01-01-AA-2268-PHX-ORD,7:15 AM- Jan 01,7:27 AM- Jan 01,Terminal 3,11:35 AM- Jan 01,11:32 AM- Jan 01,H6,2001-01-01 07:15:00,2001-01-01 07:27:00,2001-01-01 11:35:00,2001-01-01 11:32:00
boston,2011-12-04-AA-415-BOS-ORD,,8:46 AMDec 04,,,10:23 AMDec 04,,,,,
flightarrival,2012-01-02-AA-2268-PHX-ORD,2012-01-02 07:15 AM,2012-01-02 07:21 AM,,2012-01-02 11:35 AM,2012-01-02 11:36 AM,,2012-01-02 07:15:00,2012-01-02 07:21:00,2012-01-02 11:35:00,2012-01-02 11:36:00
foxbusiness,2012-01-02-AA-3756-ORD-SLC,12:15 PM- Jan 02,12:32 PM- Jan 02,G13,2:45 PM- Jan 02,2:26 PM- Jan 02,A3,2002-01-01 12:15:00,2002-01-01 12:32:00,2002-01-01 02:45:00,2002-01-01 02:26:00
mytripandmore,2011-12-24-AA-789-ORD-DEN,1:05pDec 24,1:05pDec 24, H11B,2:35pDec 24,2:29pDec 24, A49,,,,
allegiantair,2011-12-19-AA-3823-LAX-DEN,9:00 PM- Dec 19,,Terminal 4 - 44E,12:15 AM- Dec 20,,A49,2019-12-01 09:00:00,,2020-12-01 12:15:00,
businesstravellogue,2011-12-13-UA-3050-PHX-CLT,11:05 AM  Tue 13-Dec-2011,11:07 AM  Tue 13-Dec-2011,A21,04:57 PM  Tue 13-Dec-2011,04:49 PM  Tue 13-Dec-2011,B5,2011-12-13 11:05:00,2011-12-13 11:07:00,2011-12-13 04:57:00,2011-12-13 04:49:00
panynj,2011-12-30-UA-248-PHX-ORD,1:05 PMDec 30,,,5:28 PMDec 30,,,,,,
aa,2011-12-01-AA-3804-PHL-ORD,12/01/2011 02:35 PM,12/01/2011 02:44 PM,A7,12/01/2011 04:05 PM,12/01/2011 03:43 PM,H3A,2011-12-01 02:35:00,2011-12-01 02:44:00,2011-12-01 04:05:00,2011-12-01 03:43:00
flytecomm,2011-12-25-AA-2525-DFW-MIA,,12/25/11 7:43 AM (-06:00),,,12/25/11 11:00 AM (-05:00),,,,,
weather,2011-12-04-AA-4344-ORD-DTW,2011-12-04 11:45 AM,,,2011-12-04 02:00 PM,,,2011-12-04 11:45:00,,2011-12-04 02:00:00,
panynj,2012-01-02-AA-484-DFW-MIA,4:15 PM- Jan 02,4:26 PM- Jan 02,D21,7:55 PM- Jan 02,7:46 PM- Jan 02,Terminal D - D50,2002-01-01 04:15:00,2002-01-01 04:26:00,2002-01-01 07:55:00,2002-01-01 07:46:00
flightaware,2012-01-03-AA-518-MIA-JFK,2012-01-03 06:30AM EST,2012-01-03 07:28AM EST, D1 ,2012-01-03 08:59AM EST,2012-01-03 09:37AM EST, 46 ,2012-01-03 06:30:00,2012-01-03 07:28:00,2012-01-03 08:59:00,2012-01-03 09:37:00
airtravelcenter,2012-01-01-AA-1733-ORD-PHX,,1/1/12 8:02 PM (-06:00),,,1/1/12 10:25 PM (-07:00),,,,,
boston,2011-12-14-UA-3373-IAD-PHL,,8:45 AMDec 14,,,9:18 AMDec 14,,,,,
gofox,2012-01-02-AA-2312-DFW-DTW,8:25 PMJan 02,,,11:50 PMJan 02,,,,,,
panynj,2011-12-31-UA-6273-YYC-SFO,,8:09 AMDec 31,,,9:35 AMDec 31,,,,,
