Index,Original,Normalized
950,1:49 PM- Dec 13,2000-12-13 13:49:00
951,02:26 PM  Thu 01-Dec-2011,2011-12-01 14:26:00
952,12:08pDec 27,2000-12-27 12:08:00
953,12/12/11 1:16 PM (-06:00),2011-12-12 13:16:00
954,2011-12-09 3:13 PM,2011-12-09 03:13:00
955,2011-12-20 10:51AM CST,2011-12-20 10:51:00
956,2012-01-03 4:06 PM,2012-01-03 16:06:00
957,2011-12-09 04:51 PM,2011-12-09 04:51:00
958,7:37 AM- Dec 30,2000-12-30 07:37:00
959,Mon- Dec 5 11:21 AM,2000-12-05 11:21:00
960,2012-01-02 3:55 PM,2012-01-02 03:55:00
961,1/3/12 11:52 AM (-06:00),2012-01-03 11:52:00
962,12:11 PM- Dec 28,2000-12-28 12:11:00
963,7:27 AM- Jan 01,2000-01-01 07:27:00
964,8:46 AMDec 04,2000-12-04 08:46:00
965,2012-01-02 07:21 AM,2012-01-02 07:21:00
966,12:32 PM- Jan 02,2000-01-02 12:32:00
967,11:07 AM  Tue 13-Dec-2011,2011-12-13 11:07:00
968,12/01/2011 02:44 PM,2011-12-01 14:44:00
969,12/25/11 7:43 AM (-06:00),2011-12-25 07:43:00
970,4:26 PM- Jan 02,2000-01-02 16:26:00
971,2012-01-03 07:28AM EST,2012-01-03 07:28:00
972,1/1/12 8:02 PM (-06:00),2012-01-01 20:02:00
973,8:45 AMDec 14,2000-12-14 08:45:00
974,8:09 AMDec 31,2000-12-31 08:09:00
975,2011-12-14 08:17 AM,2011-12-14 08:17:00
976,12/28/11 12:01 PM (-06:00),2011-12-28 12:01:00
977,9:40 AMDec 05,2000-12-05 09:40:00
978,2011-12-08 12:05 AM,2011-12-08 00:05:00
979,8:08 AM- Dec 16,2000-12-16 08:08:00
980,12/13/11 12:22 PM (-05:00),2011-12-13 12:22:00
981,2011-12-24 11:59AM MST,2011-12-24 11:59:00
982,12/2/11 8:45 AM (-05:00),2011-12-02 08:45:00
983,2:17 PMDec 18,2000-12-18 14:17:00
984,2011-12-16 01:40PM CST,2011-12-16 13:40:00
985,2011-12-10 02:01 PM,2011-12-10 14:01:00
986,12/13/2011 2:42PM EST,2011-12-13 14:42:00
987,12/28/11 10:54 AM (-06:00),2011-12-28 10:54:00
988,12/27/11 12:33 PM (-05:00),2011-12-27 12:33:00
989,8:26pDec 17,2000-12-17 20:26:00
990,10:53 AM- Dec 07,2000-12-07 10:53:00
991,2011-12-01 11:01 AM,2011-12-01 11:01:00
992,2011-12-07 7:23 AM,2011-12-07 07:23:00
993,12/11/2011 1:35PM CST,2011-12-11 13:35:00
994,12/28/11 6:57 AM (-05:00),2011-12-28 06:57:00
995,2011-12-30 07:19AM EST,2011-12-30 07:19:00
996,2011-12-28 3:48 PM,2011-12-28 03:48:00
997,12/8/11 7:21 AM (-07:00),2011-12-08 07:21:00
998,12/28/11 8:29 PM (-06:00),2011-12-28 20:29:00
999,6:19 AM- Dec 28,2000-12-28 06:19:00
1000,12:17 PM- Dec 11,2000-12-11 12:17:00
1001,12/2/11 11:52 AM (-05:00),2011-12-02 11:52:00
1002,12:12 PM- Jan 03,2000-01-03 12:12:00
1003,2011-12-12 10:34 AM,2011-12-12 10:34:00
1004,12/29/11 10:57 AM (-06:00),2011-12-29 10:57:00
1005,Tue- Dec 20 8:22 AM,2000-12-20 08:22:00
1006,7:14 AM- Dec 02,2000-12-02 07:14:00
1007,7:27 AM- Dec 17,2000-12-17 07:27:00
1008,2011-12-29 08:53 AM,2011-12-29 08:53:00
1009,2011-12-31 11:48 AM,2011-12-31 11:48:00
1010,2011-12-13 11:50 AM,2011-12-13 11:50:00
1011,3:41 PMJan 01,2000-01-01 15:41:00
1012,12:22 PM  Fri 02-Dec-2011,2011-12-02 12:22:00
1013,Mon- Jan 2 3:07 PM,2000-01-02 15:07:00
1014,December 22- 2011               07:02 AM,2011-12-22 07:02:00
1015,12/18/11 3:17 PM (-05:00),2011-12-18 15:17:00
1016,December 10- 2011               07:01 AM,2011-12-10 07:01:00
1017,2011-12-08 8:10 PM,2011-12-08 20:10:00
1018,2011-12-05 7:20 AM,2011-12-05 07:20:00
1019,6:56 AM- Dec 09,2000-12-09 06:56:00
1020,7:38 AM- Dec 13,2000-12-13 07:38:00
1021,12/8/11 8:31 PM (-07:00),2011-12-08 20:31:00
1022,8:37 PMDec 12,2000-12-12 20:37:00
1023,7:02 AM- Dec 26,2000-12-26 07:02:00
1024,12/17/11 10:58 AM (-05:00),2011-12-17 10:58:00
1025,12/28/11 11:26 AM (-05:00),2011-12-28 11:26:00
1026,07:13 AM  Mon 05-Dec-2011,2011-12-05 07:13:00
1027,1:15 PMDec 11,2000-12-11 13:15:00
1028,2011-12-30 12:40PM EST,2011-12-30 12:40:00
1029,12/27/11 4:06 PM (-07:00),2011-12-27 16:06:00
1030,2011-12-07 09:06 AM,2011-12-07 09:06:00
1031,2011-12-29 12:32 PM,2011-12-29 12:32:00
1032,2012-01-03 08:42 AM,2012-01-03 08:42:00
1033,12:08pDec 31,2000-12-31 12:08:00
1034,2011-12-20 11:57 AM,2011-12-20 11:57:00
1035,12/17/11 4:08 PM (-05:00),2011-12-17 16:08:00
1036,2012-01-03 11:57AM CST,2012-01-03 11:57:00
1037,2012-01-02 03:25PM EST,2012-01-02 03:25:00
1038,3:02pDec 14,2000-12-14 15:02:00
1039,December 8- 2011               12:57 PM,2011-12-08 12:57:00
1040,3:18 PMDec 20,2000-12-20 15:18:00
1041,12/3/11 7:19 AM (-07:00),2011-12-03 07:19:00
1042,7:34 AM- Dec 30,2000-12-30 07:34:00
1043,2011-12-17 06:55 AM,2011-12-17 06:55:00
1044,12/11/11 11:20 AM (-07:00),2011-12-11 11:20:00
1045,2:51 PMDec 10,2000-12-10 14:51:00
1046,2011-12-25 08:45AM EST,2011-12-25 08:45:00
1047,2011-12-04 3:29 PM,2011-12-04 03:29:00
1048,11:57 AMDec 16,2000-12-16 11:57:00
1049,06:10 AM  Thu 01-Dec-2011,2011-12-01 06:10:00
1050,8:43 AM- Dec 30,2000-12-30 08:43:00
1051,2012-01-03 07:19 AM,2012-01-03 07:19:00
1052,12/12/11 9:33 AM (-05:00),2011-12-12 09:33:00
1053,7:26 AM- Dec 16,2000-12-16 07:26:00
1054,7:14 AM- Dec 05,2000-12-05 07:14:00
1055,1/1/12 7:15 PM (-06:00),2012-01-01 19:15:00
1056,2011-12-09 04:35PM PST,2011-12-09 16:35:00
1057,06:45 AM  Mon 12-Dec-2011,2011-12-12 06:45:00
1058,2011-12-18 1:46 PM,2011-12-18 13:46:00
1059,Dec 01 - 3:00pm,2000-12-01 15:00:00
1060,10:57 AMDec 04,2000-12-04 10:57:00
1061,12/28/11 11:29 PM (-08:00),2011-12-28 23:29:00
1062,12/12/11 8:48 AM (-05:00),2011-12-12 08:48:00
1063,2011-12-11 2:59 PM,2011-12-11 14:59:00
1064,07:16 AM  Wed 28-Dec-2011,2011-12-28 07:16:00
1065,1/1/12 10:51 AM (-06:00),2012-01-01 10:51:00
1066,4:07 PM- Dec 25,2000-12-25 16:07:00
1067,12:14 PM- Dec 27,2000-12-27 12:14:00
1068,9:12 AMDec 08,2000-12-08 09:12:00
1069,2011-12-19 1:33 PM,2011-12-19 13:33:00
1070,2011-12-25 08:55 AM,2011-12-25 08:55:00
1071,2011-12-13 08:52 AM,2011-12-13 08:52:00
1072,12/20/11 5:07 PM (-06:00),2011-12-20 17:07:00
1073,2011-12-22 1:51 PM,2011-12-22 13:51:00
1074,1/3/12 9:00 AM (-05:00),2012-01-03 09:00:00
1075,2:38 PMDec 12,2000-12-12 14:38:00
1076,2011-12-04 07:49AM EST,2011-12-04 07:49:00
1077,2011-12-01 07:07 AM,2011-12-01 07:07:00
1078,2011-12-17 12:29 PM,2011-12-17 12:29:00
1079,2011-12-13 1:24 PM,2011-12-13 13:24:00
1080,11:02 AM  Sat 24-Dec-2011,2011-12-24 11:02:00
1081,2011-12-15 12:09 AM (Estimated runway),2011-12-15 00:09:00
1082,2:41 PM- Jan 03,2000-01-03 14:41:00
1083,2011-12-16 11:16 AM,2011-12-16 11:16:00
1084,December 12- 2011               07:04 AM,2011-12-12 07:04:00
1085,12/5/2011 9:18AM CST,2011-12-05 09:18:00
1086,8:10 PM- Dec 03,2000-12-03 20:10:00
1087,11:03 AM- Dec 22,2000-12-22 11:03:00
1088,8:34 AM- Dec 20,2000-12-20 08:34:00
1089,Dec 25 - Not Available,2000-12-25 00:00:00
1090,12/14/11 8:50 PM (-05:00),2011-12-14 20:50:00
1091,12/04/2011 10:49 AM,2011-12-04 10:49:00
1092,12/13/11 2:53 PM (-05:00),2011-12-13 14:53:00
1093,6:57 AM- Dec 14,2000-12-14 06:57:00
1094,11:47aDec 24,2000-12-24 11:47:00
1095,4:56 PMDec 19,2000-12-19 16:56:00
1096,11:43 AM  Thu 01-Dec-2011,2011-12-01 11:43:00
1097,12/28/2011 7:13AM EST,2011-12-28 07:13:00
1098,2011-12-10 10:48 AM,2011-12-10 10:48:00
1099,7:20 AM- Dec 13,2000-12-13 07:20:00
1100,12:16 PM  Wed 07-Dec-2011,2011-12-07 12:16:00
1101,4:12 PM- Dec 01,2000-12-01 16:12:00
1102,3:36 PM- Dec 08,2000-12-08 15:36:00
1103,2011-12-31 03:03 PM,2011-12-31 03:03:00
1104,12/22/11 7:16 AM (-06:00),2011-12-22 07:16:00
1105,11:50 AM  Mon 19-Dec-2011,2011-12-19 11:50:00
1106,2011-12-18 6:35 AM,2011-12-18 06:35:00
1107,Dec 08 - Not Available,2000-12-08 00:00:00
1108,4:30 PMDec 11,2000-12-11 16:30:00
1109,December 30- 2011               11:47 AM,2011-12-30 11:47:00
1110,10:34 AM- Dec 09,2000-12-09 10:34:00
1111,11:54 AM  Sat 31-Dec-2011,2011-12-31 11:54:00
1112,9:31 AMDec 17,2000-12-17 09:31:00
1113,6:54 AM- Dec 22,2000-12-22 06:54:00
1114,2011-12-01 12:12 PM,2011-12-01 12:12:00
1115,11:50 AM  Mon 12-Dec-2011,2011-12-12 11:50:00
1116,2011-12-20 2:18 PM,2011-12-20 14:18:00
1117,06:38 PM  Tue 20-Dec-2011,2011-12-20 06:38:00
1118,2:51 PM- Dec 29,2000-12-29 14:51:00
1119,12:13 PM- Dec 05,2000-12-05 12:13:00
1120,7:07aDec 19,2000-12-19 07:07:00
1121,2011-12-01 2:46 PM,2011-12-01 14:46:00
1122,12:12 PM- Dec 19,2000-12-19 12:12:00
1123,2011-12-11 11:15 AM,2011-12-11 11:15:00
1124,12/21/2011 4:46PM PST,2011-12-21 16:46:00
1125,Dec 28 - Contact Airline,2000-12-28 00:00:00
1126,2012-01-03 12:11 PM,2012-01-03 12:11:00
1127,3:16 PMDec 09,2000-12-09 15:16:00
1128,12:29 PM- Dec 16,2000-12-16 12:29:00
1129,2:08pJan 2,2000-01-02 14:08:00
1130,12/8/11 6:48 PM (-05:00),2011-12-08 18:48:00
1131,2011-12-20 11:42 AM,2011-12-20 11:42:00
1132,2011-12-15 5:59 AM,2011-12-15 05:59:00
1133,2011-12-04 11:01 AM,2011-12-04 11:01:00
1134,2011-12-25 08:25 AM,2011-12-25 08:25:00
1135,7:46 AM- Dec 09,2000-12-09 07:46:00
1136,12/27/11 12:06 PM (-08:00),2011-12-27 12:06:00
1137,12/22/11 7:23 AM (-06:00),2011-12-22 07:23:00
1138,7:48 AM- Dec 05,2000-12-05 07:48:00
1139,12/12/11 9:47 AM (-06:00),2011-12-12 09:47:00
1140,2011-12-30 07:17AM CST,2011-12-30 07:17:00
1141,12/04/2011 07:32 AM,2011-12-04 07:32:00
1142,December 11- 2011               10:42 AM,2011-12-11 10:42:00
1143,4:49pDec 24,2000-12-24 16:49:00
1144,2011-12-10 08:39 AM,2011-12-10 08:39:00
1145,2011-12-14 12:27 PM,2011-12-14 12:27:00
1146,2011-12-07 5:55 AM,2011-12-07 05:55:00
1147,6:40aDec 8,2000-12-08 06:40:00
1148,2011-12-27 2:37 PM,2011-12-27 14:37:00
1149,2011-12-26 4:50 PM,2011-12-26 16:50:00
1150,Dec 15 - 8:57am,2000-12-15 08:57:00
1151,9:37 AMDec 03,2000-12-03 09:37:00
1152,12/22/2011 10:57AM PST,2011-12-22 10:57:00
1153,12/04/2011 12:53 PM,2011-12-04 12:53:00
1154,December 27- 2011,2011-12-27 00:00:00
1155,9:08 AM- Dec 29,2000-12-29 09:08:00
1156,12/13/11 2:56 PM (-07:00),2011-12-13 14:56:00
1157,2011-12-24 05:06PM EST,2011-12-24 17:06:00
1158,12:12 PM  Thu 08-Dec-2011,2011-12-08 12:12:00
1159,3:33 PM- Dec 24,2000-12-24 15:33:00
1160,1/1/12 12:03 PM (-07:00),2012-01-01 12:03:00
1161,2011-12-22 07:13AM EST,2011-12-22 07:13:00
1162,2011-12-28 01:22PM CST,2011-12-28 13:22:00
1163,12/17/11 7:30 AM (-05:00),2011-12-17 07:30:00
1164,12/20/11 3:50 PM (-05:00),2011-12-20 15:50:00
1165,2011-12-20 06:19AM CST,2011-12-20 06:19:00
1166,03:56 PM  Wed 14-Dec-2011,2011-12-14 03:56:00
1167,1:53 PMDec 25,2000-12-25 13:53:00
1168,2011-12-11 7:42 PM,2011-12-11 19:42:00
1169,07:49 AM  Sun 04-Dec-2011,2011-12-04 07:49:00
1170,2011-12-19 1:01 PM,2011-12-19 13:01:00
1171,2011-12-04 10:53 AM,2011-12-04 10:53:00
1172,2011-12-11 01:15PM EST,2011-12-11 13:15:00
1173,1/1/12 7:27 AM (-05:00),2012-01-01 07:27:00
1174,2011-12-17 01:40PM CST,2011-12-17 13:40:00
1175,11:58 AMDec 19,2000-12-19 11:58:00
1176,2011-12-01 11:52AM EST,2011-12-01 11:52:00
1177,04:26 PM  Tue 20-Dec-2011,2011-12-20 04:26:00
1178,4:06 PM- Dec 12,2000-12-12 16:06:00
1179,12:47pDec 29,2000-12-29 12:47:00
1180,2011-12-27 8:29 AM,2011-12-27 08:29:00
1181,2011-12-12 08:30 AM,2011-12-12 08:30:00
1182,2011-12-19 11:21 PM (Estimated runway),2011-12-19 23:21:00
1183,12/18/11 11:59 AM (-06:00),2011-12-18 11:59:00
1184,11:54 AMDec 20,2000-12-20 11:54:00
1185,6:54 PM- Dec 25,2000-12-25 18:54:00
1186,4:37 PM- Dec 31,2000-12-31 16:37:00
1187,2012-01-02 3:56 PM,2012-01-02 03:56:00
1188,12/3/11 1:55 PM (-05:00),2011-12-03 13:55:00
1189,12/31/11 7:23 AM (-05:00),2011-12-31 07:23:00
1190,12/29/11 11:57 AM (-06:00),2011-12-29 11:57:00
1191,2011-12-12 08:13 PM,2011-12-12 20:13:00
1192,2011-12-27 7:11 AM,2011-12-27 07:11:00
1193,12/31/11 12:35 PM (-06:00),2011-12-31 12:35:00
1194,2011-12-16 08:13PM EST,2011-12-16 08:13:00
1195,Dec 27 - Contact Airline,2000-12-27 00:00:00
1196,2011-12-08 1:00 PM,2011-12-08 13:00:00
1197,12/22/11 4:03 PM (-05:00),2011-12-22 16:03:00
1198,11:50 AMJan 01,2000-01-01 11:50:00
1199,12/31/11 12:02 PM (-05:00),2011-12-31 12:02:00
1200,7:59 PM- Dec 16,2000-12-16 19:59:00
1201,12/7/11 11:48 AM (-08:00),2011-12-07 11:48:00
1202,7:11 AM- Dec 13,2000-12-13 07:11:00
1203,10:41 AM  Fri 09-Dec-2011,2011-12-09 10:41:00
1204,December 24- 2011               03:56 PM,2011-12-24 03:56:00
1205,12:09 PM- Dec 20,2000-12-20 12:09:00
1206,8:31aJan 1,2000-01-01 08:31:00
1207,12/12/2011 7:26AM EST,2011-12-12 07:26:00
1208,2012-01-03 03:18 PM,2012-01-03 03:18:00
1209,7:12aDec 11,2000-12-11 07:12:00
1210,8:13 PM- Jan 03,2000-01-03 20:13:00
1211,2011-12-26 11:58 AM,2011-12-26 11:58:00
1212,2011-12-28 12:10 PM,2011-12-28 12:10:00
1213,Mon- Dec 19 1:38 PM,2000-12-19 13:38:00
1214,10:49 AM- Dec 18,2000-12-18 10:49:00
1215,4:13 PMJan 02,2000-01-02 16:13:00
1216,2011-12-12 12:27 PM,2011-12-12 12:27:00
1217,2011-12-19 7:07 AM,2011-12-19 07:07:00
1218,2011-12-14 10:49 AM,2011-12-14 10:49:00
1219,07:21 AM  Fri 02-Dec-2011,2011-12-02 07:21:00
1220,12/17/11 2:15 PM (-05:00),2011-12-17 14:15:00
1221,3:59 PMDec 26,2000-12-26 15:59:00
1222,2:51pDec 30,2000-12-30 14:51:00
1223,8:31 AM- Dec 05,2000-12-05 08:31:00
1224,12/16/11 1:16 PM (-06:00),2011-12-16 13:16:00
1225,11:47 AM- Dec 24,2000-12-24 11:47:00
1226,1:17 PM- Dec 07,2000-12-07 13:17:00
1227,4:05 PM- Dec 12,2000-12-12 16:05:00
1228,12:08 PM- Dec 30,2000-12-30 12:08:00
1229,2011-12-11 12:28AM PST,2011-12-11 12:28:00
1230,06:32 AM  Mon 02-Jan-2012,2012-01-02 06:32:00
1231,07:24 AM  Sat 31-Dec-2011,2011-12-31 07:24:00
1232,5:28 PMDec 02,2000-12-02 17:28:00
1233,12/31/11 4:34 PM (-06:00),2011-12-31 16:34:00
1234,2011-12-10 09:14AM CST,2011-12-10 09:14:00
1235,2011-12-30 12:12PM EST,2011-12-30 12:12:00
1236,1/2/12 1:58 PM (-06:00),2012-01-02 13:58:00
1237,12/13/11 1:49 PM (-06:00),2011-12-13 13:49:00
1238,12/9/11 8:30 PM (-06:00),2011-12-09 20:30:00
1239,3:28pDec 26,2000-12-26 15:28:00
1240,12/27/2011 6:16AM CST,2011-12-27 06:16:00
1241,Dec 24 - Contact Airline,2000-12-24 00:00:00
1242,4:31 PM- Dec 27,2000-12-27 16:31:00
1243,2011-12-17 08:05PM EST,2011-12-17 08:05:00
1244,07:06 AM  Mon 12-Dec-2011,2011-12-12 07:06:00
1245,12:48 PMDec 13,2000-12-13 12:48:00
1246,12/28/11 6:18 AM (-06:00),2011-12-28 06:18:00
1247,8:53 AMDec 08,2000-12-08 08:53:00
1248,2011-12-18 08:47 AM,2011-12-18 08:47:00
1249,7:26 AM- Dec 22,2000-12-22 07:26:00
1250,4:46pDec 18,2000-12-18 16:46:00
1251,2011-12-09 8:39 AM,2011-12-09 08:39:00
1252,12/18/11 3:55 PM (-05:00),2011-12-18 15:55:00
1253,8:24 PMDec 26,2000-12-26 20:24:00
1254,12/5/11 5:01 PM (-05:00),2011-12-05 17:01:00
1255,9:14 AM- Dec 31,2000-12-31 09:14:00
1256,10:54 AM- Dec 04,2000-12-04 10:54:00
1257,12/16/11 8:43 PM (-07:00),2011-12-16 20:43:00
1258,8:08 PM- Dec 19,2000-12-19 20:08:00
1259,12/3/11 2:09 PM (+08:00),2011-12-03 14:09:00
1260,11:52 AM  Sun 18-Dec-2011,2011-12-18 11:52:00
1261,12/25/11 7:19 AM (-08:00),2011-12-25 07:19:00
1262,8:06 AMDec 02,2000-12-02 08:06:00
1263,Dec 30 - 12:08pm,2000-12-30 12:08:00
1264,12/25/2011 11:58AM CST,2011-12-25 11:58:00
1265,12/22/11 12:06 PM (-07:00),2011-12-22 12:06:00
1266,07:12 AM  Mon 12-Dec-2011,2011-12-12 07:12:00
1267,10:42aDec 18,2000-12-18 10:42:00
1268,12:15 PM- Dec 24,2000-12-24 12:15:00
1269,7:55 PM- Dec 11,2000-12-11 19:55:00
1270,9:37 AMDec 14,2000-12-14 09:37:00
1271,4:19 PMJan 03,2000-01-03 16:19:00
1272,2011-12-03 8:43 AM,2011-12-03 08:43:00
1273,8:23 PM- Dec 03,2000-12-03 20:23:00
1274,December 20- 2011               07:03 AM,2011-12-20 07:03:00
1275,2012-01-01 12:02 PM,2012-01-01 12:02:00
1276,3:28pDec 1,2000-12-01 15:28:00
1277,2011-12-12 6:09 AM,2011-12-12 06:09:00
1278,Dec 07 - 10:46am,2000-12-07 10:46:00
1279,7:12 AM- Dec 14,2000-12-14 07:12:00
1280,12:17pDec 11,2000-12-17 12:00:00
1281,2011-12-07 3:45 PM,2011-12-07 15:45:00
1282,December 18- 2011               04:17 PM,2011-12-18 04:17:00
1283,7:52 AM- Dec 27,2000-12-27 07:52:00
1284,2011-12-31 11:54 AM,2011-12-31 11:54:00
1285,12/1/11 11:45 AM (-07:00),2011-12-01 11:45:00
1286,2011-12-05 04:51 PM,2011-12-05 16:51:00
1287,2012-01-02 07:43AM EST,2012-01-02 07:43:00
1288,12:12 PM- Dec 28,2000-12-28 12:12:00
1289,12/4/11 9:01 AM (-06:00),2011-12-04 09:01:00
1290,2011-12-09 9:00 PM (Estimated),2011-12-09 21:00:00
1291,2011-12-30 08:21PM CST,2011-12-30 08:21:00
1292,12:45 PM- Dec 29,2000-12-29 12:45:00
1293,8:35 AMDec 14,2000-12-14 08:35:00
1294,December 12- 2011               09:35 AM,2011-12-12 09:35:00
1295,4:10 PM- Dec 11,2000-12-11 16:10:00
1296,12/10/11 1:55 PM (-05:00),2011-12-10 13:55:00
1297,07:06 AM  Sat 31-Dec-2011,2011-12-31 07:06:00
1298,8:09 PM- Dec 08,2000-12-08 20:09:00
1299,12/25/11 7:22 AM (-05:00),2011-12-25 07:22:00
1300,2011-12-19 4:20 PM,2011-12-19 16:20:00
1301,2011-12-20 2:25 PM,2011-12-20 14:25:00
1302,2:52 PMDec 31,2000-12-31 14:52:00
1303,Dec 07 - 9:21am,2000-12-07 09:21:00
1304,2011-12-10 7:53 AM,2011-12-10 07:53:00
1305,12/16/11 8:56 AM (-05:00),2011-12-16 08:56:00
1306,10:19 AM- Dec 01,2000-12-01 10:19:00
1307,12/2/11 10:39 AM (-05:00),2011-12-02 10:39:00
1308,2011-12-25 2:27 PM,2011-12-25 14:27:00
1309,8:38 AM- Dec 18,2000-12-18 08:38:00
1310,Sat- Dec 10 3:51 PM,2000-12-10 15:51:00
1311,12/10/2011 4:35PM MST,2011-12-10 16:35:00
1312,12:29 PM  Mon 05-Dec-2011,2011-12-05 12:29:00
1313,2011-12-03 12:46PM EST,2011-12-03 12:46:00
1314,11:44 AMDec 27,2000-12-27 11:44:00
1315,Dec 09 - 2:23pm,2000-12-09 14:23:00
1316,2011-12-22 04:30PM PST,2011-12-22 16:30:00
1317,7:15 AM- Dec 25,2000-12-25 07:15:00
1318,4:33 PMDec 05,2000-12-05 16:33:00
1319,5:12 PMDec 03,2000-12-03 17:12:00
1320,12/3/11 10:36 AM (-05:00),2011-12-03 10:36:00
1321,3:02 PMDec 25,2000-12-25 15:02:00
1322,5:01 PMDec 18,2000-12-18 17:01:00
1323,2011-12-09 07:26AM PST,2011-12-09 07:26:00
1324,3:21 PM- Dec 11,2000-12-11 15:21:00
1325,12/25/11 7:31 AM (-06:00),2011-12-25 07:31:00
1326,Dec 15 - 7:08am,2000-12-15 07:08:00
1327,1:32pDec 1,2000-12-01 13:32:00
1328,12/16/2011 1:25PM CST,2011-12-16 13:25:00
1329,12/9/11 7:31 AM (-06:00),2011-12-09 07:31:00
1330,2011-12-14 08:35 PM,2011-12-14 20:35:00
1331,7:07aDec 1,2000-12-01 07:07:00
1332,10:50 AM- Dec 04,2000-12-04 10:50:00
1333,12/26/11 4:29 PM (-08:00),2011-12-26 16:29:00
1334,12/16/11 12:14 PM (-05:00),2011-12-16 12:14:00
1335,2:42 PM- Dec 09,2000-12-09 14:42:00
1336,2012-01-01 12:10 AM (Estimated runway),2012-01-01 00:10:00
1337,December 17- 2011               07:19 AM,2011-12-17 07:19:00
1338,12/29/11 7:57 PM (-06:00),2011-12-29 19:57:00
1339,8:34 AM- Dec 28,2000-12-28 08:34:00
1340,1/2/2012 12:03PM EST,2012-01-02 12:03:00
1341,03:36 PM  Thu 22-Dec-2011,2011-12-22 03:36:00
1342,12/30/11 9:43 AM (-05:00),2011-12-30 09:43:00
1343,12/29/11 11:52 AM (-05:00),2011-12-29 11:52:00
1344,2011-12-13 2:28 PM,2011-12-13 14:28:00
1345,2011-12-11 02:53PM EST,2011-12-11 14:53:00
1346,6:46 PMDec 14,2000-12-14 18:46:00
1347,Dec 01 - 7:22am,2000-12-01 07:22:00
1348,12/2/11 2:42 PM (-05:00),2011-12-02 14:42:00
1349,10:08 AM- Dec 24,2000-12-24 10:08:00
1350,2011-12-19 1:09 PM,2011-12-19 13:09:00
1351,7:40 AM- Dec 28,2000-12-28 07:40:00
1352,2012-01-01 7:31 AM,2012-01-01 07:31:00
1353,2011-12-14 7:03 AM,2011-12-14 07:03:00
1354,1:56 PMDec 24,2000-12-24 13:56:00
1355,Mon- Dec 19 8:47 AM,2000-12-19 08:47:00
1356,December 9- 2011               10:41 AM,2011-12-09 10:41:00
1357,1/1/12 12:23 PM (-06:00),2012-01-01 12:23:00
1358,December 25- 2011               06:44 AM,2011-12-25 06:44:00
1359,2012-01-02 03:47PM EST,2012-01-02 03:47:00
1360,2011-12-16 7:08 AM,2011-12-16 07:08:00
1361,12:01 PM- Dec 20,2000-12-20 12:01:00
1362,12/25/11 9:25 AM (-06:00),2011-12-25 09:25:00
1363,Dec 19 - 2:54pm,2000-12-19 14:54:00
1364,2011-12-01 8:51 AM,2011-12-01 08:51:00
1365,07:54 PM  Tue 27-Dec-2011,2011-12-27 19:54:00
1366,12/14/11 8:40 PM (-06:00),2011-12-14 20:40:00
1367,2011-12-20 07:28AM EST,2011-12-20 07:28:00
1368,2011-12-13 12:08PM EST,2011-12-13 12:08:00
1369,2011-12-29 11:07 AM,2011-12-29 11:07:00
1370,12/1/11 7:22 AM (-06:00),2011-12-01 07:22:00
1371,07:53 AM  Wed 14-Dec-2011,2011-12-14 07:53:00
1372,12/9/11 7:27 AM (-05:00),2011-12-09 07:27:00
1373,6:45aDec 12,2000-12-12 06:45:00
1374,12/22/11 6:17 AM (-06:00),2011-12-22 06:17:00
1375,1/1/2012 8:12PM EST,2012-01-01 20:12:00
1376,2011-12-20 07:35AM EST,2011-12-20 07:35:00
1377,11:06 AM- Dec 01,2000-12-01 11:06:00
1378,1/2/12 8:47 AM (-05:00),2012-01-02 08:47:00
1379,December 18- 2011,2011-12-18 00:00:00
1380,5:00 PMDec 31,2000-12-31 17:00:00
1381,2011-12-25 07:24 AM,2011-12-25 07:24:00
1382,December 30- 2011               02:51 PM,2011-12-30 14:51:00
1383,12/28/11 7:39 AM (-06:00),2011-12-28 07:39:00
1384,Dec 01 - Contact Airline,2000-12-01 00:00:00
1385,7:17 AM- Dec 09,2000-12-09 07:17:00
1386,12/16/11 9:43 AM (-06:00),2011-12-16 09:43:00
1387,4:07 PM- Dec 31,2000-12-31 16:07:00
1388,12/9/11 8:44 AM (-05:00),2011-12-09 08:44:00
1389,7:54 PM- Dec 26,2000-12-26 19:54:00
1390,2011-12-24 11:53 AM,2011-12-24 11:53:00
1391,1/2/12 12:37 PM (-05:00),2012-01-02 12:37:00
1392,10:55 AM- Dec 18,2000-12-18 10:55:00
1393,10:47 AM- Dec 08,2000-12-08 10:47:00
1394,03:39 PM  Sat 10-Dec-2011,2011-12-10 03:39:00
1395,2011-12-29 10:00 AM,2011-12-29 10:00:00
1396,3:58 PM- Dec 17,2000-12-17 15:58:00
1397,2:24 PM- Dec 09,2000-12-09 14:24:00
1398,6:17 AM- Dec 10,2000-12-10 06:17:00
1399,12:30 PM- Dec 19,2000-12-19 12:30:00
1400,Mon- Dec 12 9:13 AM            Delayed,2000-12-12 09:13:00
1401,12/5/11 9:03 AM (-05:00),2011-12-05 09:03:00
1402,8:13pDec 10,2000-12-10 20:13:00
1403,12:06 PMDec 27,2000-12-27 12:06:00
1404,12/5/11 7:19 AM (-07:00),2011-12-05 07:19:00
1405,6:55 AM- Dec 17,2000-12-17 06:55:00
1406,7:27 AM- Dec 10,2000-12-10 07:27:00
